ANO;MES;DESPESAS;ARRECADACAO;SUBSIDIO;MULTAS;EMPRESTIMO;TRANSFERENCIA;BALANCO;IN_IPCA;C_REAL;C_DESPESAS;C_ARRECADACAO;C_SUBSIDIO;C_MULTAS;C_EMPRESTIMO;C_TRANSFERENCIA;PAX;IN_PAX;TARIFA;C_TARIFA;IN_C_TARIFA;SMSP;C_SMSP;IN_C_SMSP
2004;JUN;177626112,06;151592660,60;22391200,00;;;3642251,46;0,00;2307,03;0,90;-160583620,24;137047970,92;20242856,84;0,00;0,00;3292792,48;139694329,00;1,375;1,70;1,54;0,904;260,00;235,05;1,175
2004;JUL;186178622,34;148697203,37;22391200,00;;;15090218,97;0,00;2328,02;0,90;-166797978,13;133218264,07;20060342,27;0,00;0,00;13519371,78;144699377,00;1,424;1,70;1,52;0,896;260,00;232,93;1,165
2004;AGO;183963688,44;155444360,88;22391200,00;;;6128127,56;0,00;2344,08;0,89;-163684424,47;138308929,13;19922902,81;0,00;0,00;5452592,53;167075795,00;1,645;1,70;1,51;0,890;260,00;231,34;1,157
2004;SET;202690907,51;163879939,28;27467165,44;;;11343802,79;0,00;2351,82;0,89;-179753710,73;145334724,49;24358887,00;0,00;0,00;10060099,24;170292308,00;1,676;1,70;1,51;0,887;260,00;230,58;1,153
2004;OUT;191261874,86;162885561,11;28482358,53;;;-106044,78;0,00;2362,17;0,88;-168874834,22;143819943,99;25148522,56;0,00;0,00;-93632,33;178315537,00;1,755;1,70;1,50;0,883;260,00;229,57;1,148
2004;NOV;193566252,18;166156423,07;32479612,03;;;-5069782,92;0,00;2378,47;0,88;-169738218,62;145702543,43;28481367,11;0,00;0,00;-4445691,91;178906595,00;1,761;1,70;1,49;0,877;260,00;227,99;1,140
2004;DEZ;172098162,29;165440250,59;26813202,81;;;-20155291,11;0,00;2398,92;0,87;-149626371,50;143837819,46;23312057,44;0,00;0,00;-17523505,40;186546912,00;1,836;1,70;1,48;0,869;260,00;226,05;1,130
2005;JAN;140090952,46;138975199,58;;;;1115752,88;0,00;2412,83;0,86;-121096346,50;120131875,95;0,00;0,00;0,00;964470,55;162259104,00;1,597;1,70;1,47;0,864;260,00;224,75;1,124
2005;FEV;179049906,16;152634851,79;25166666,66;;;1248387,71;0,00;2427,07;0,86;-153864869,28;131165338,32;21626740,60;0,00;0,00;1072790,35;174129780,00;1,714;1,70;1,46;0,859;260,00;223,43;1,117
2005;MAR;214200587,14;196547087,99;25166666,66;;;-7513167,51;0,00;2441,87;0,85;-182955636,70;167877213,15;21495662,47;0,00;0,00;-6417238,92;211649995,00;2,083;2,00;1,71;1,005;260,00;222,07;1,110
2005;ABR;257011576,54;242293217,52;18935649,83;;;-4217290,81;0,00;2463,11;0,85;-217628893,94;205165874,82;16034081,36;0,00;0,00;-3571062,23;204885088,00;2,017;2,00;1,69;0,996;260,00;220,16;1,101
2005;MAI;253924554,52;243114686,79;17366666,67;;;-6556798,94;0,00;2475,18;0,84;-213966404,41;204857602,25;14633808,18;0,00;0,00;-5525006,03;212968235,00;2,096;2,00;1,69;0,991;300,00;252,79;1,264
2005;JUN;261703009,48;249293379,13;17366666,67;;;-4957036,32;0,00;2474,68;0,84;-220565379,29;210106444,06;14636764,89;0,00;0,00;-4177829,66;218647589,00;2,152;2,00;1,69;0,992;300,00;252,84;1,264
2005;JUL;249110437,02;232043555,45;20350637,95;;;-3283756,38;0,00;2480,87;0,84;-209428408,70;195080194,74;17108884,61;0,00;0,00;-2760670,65;204844663,00;2,016;2,00;1,68;0,989;300,00;252,21;1,261
2005;AGO;273142528,97;260842595,06;17366666,67;;;-5066732,76;0,00;2485,09;0,84;-229242365,40;218919308,22;14575451,73;0,00;0,00;-4252394,55;230881871,00;2,273;2,00;1,68;0,987;300,00;251,78;1,259
